batsman,bowler,inning,batsman_runs,is_wicket
KD Karthik,DJ Bravo,50,48,3
MS Dhoni,JP Faulkner,49,48,2
MC Henriques,A Mishra,48,48,1
KS Williamson,AR Patel,47,48,0
MK Pandey,IK Pathan,47,48,0
MK Pandey,S Gopal,46,48,2
S Dhawan,RP Singh,46,48,2
MK Tiwary,Harbhajan Singh,45,48,0
STR Binny,Harbhajan Singh,45,48,0
CA Lynn,S Kaul,42,48,1
AB de Villiers,Mohammed Shami,38,48,1
SPD Smith,Bipul Sharma,38,48,0
SV Samson,S Nadeem,38,48,2
NV Ojha,A Mishra,37,48,2
CJ Anderson,AR Patel,33,48,1
KD Karthik,Mohammed Shami,30,48,3
Q de Kock,JC Archer,30,48,2
SP Narine,S Badree,26,48,0
